Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,230,56
Heroes (we could be),Alesso,big room,2015,126,75,52,210,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,292,55
Perfect,One Direction,boy band,2015,100,82,65,230,55
Ghosttown,Madonna,dance pop,2015,79,55,54,250,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,193,54
Bloodstream,Ed Sheeran,pop,2015,89,59,48,309,52
Living For Love,Madonna,dance pop,2015,123,79,67,219,52
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,203,52
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,211,52
Steal My Girl,One Direction,boy band,2015,77,76,47,227,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,193,50
We Are Here,Alicia Keys,hip pop,2015,93,67,64,285,49
St Jude,Florence + The Machine,art pop,2015,117,43,26,225,47
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,243,46
Time of Our Lives,Pitbull,dance pop,2015,124,80,72,229,45
Sparks,Hilary Duff,dance pop,2015,122,88,85,186,44
Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,196,42
Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,224,41
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,202,39
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,273,36
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,238,34
Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,255,18
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,193,0
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,242,84
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,234,83
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,219,81
